Year,Locationdesc,Response,Total_SS_Loc,latitude,longitude,Percentage_Loc,Sample_Size
2015,Wyoming,No,30724,43.235541343,-108.109830353,85.29,26200
2015,Wyoming,Yes,30724,43.235541343,-108.109830353,14.72,4524
2016,Alabama,No,39263,32.84057112200048,-86.63186076199969,81.31,31923
2016,Alabama,Yes,39263,32.84057112200048,-86.63186076199969,18.69,7340
2016,Alaska,No,16588,64.84507995700051,-147.72205903599973,81.34,13491
2016,Alaska,Yes,16588,64.84507995700051,-147.72205903599973,18.63,3097
2016,Arizona,No,61172,34.865970280000454,-111.76381127699972,87.51,53511
2016,Arizona,Yes,61172,34.865970280000454,-111.76381127699972,12.52,7661
2016,Arkansas,No,29682,34.74865012400045,-92.27449074299966,83.23,24703
2016,Arkansas,Yes,29682,34.74865012400045,-92.27449074299966,16.8,4979
2016,California,No,61205,37.63864012300047,-120.99999953799971,89.03999999999999,54514
2016,California,Yes,61205,37.63864012300047,-120.99999953799971,10.94,6691
2016,Colorado,No,79902,38.843840757000464,-106.13361092099967,87.18,69664
2016,Colorado,Yes,79902,38.843840757000464,-106.13361092099967,12.82,10238
2016,Connecticut,No,61879,41.56266102000046,-72.64984095199964,89.09,55143
2016,Connecticut,Yes,61879,41.56266102000046,-72.64984095199964,10.9,6736
2016,Delaware,No,22764,39.008830667000495,-75.57774116799965,83.39,18980
2016,Delaware,Yes,22764,39.008830667000495,-75.57774116799965,16.65,3784
2016,District of Columbia,No,21564,38.89037138500049,-77.03196112699965,85.05,18340
2016,District of Columbia,Yes,21564,38.89037138500049,-77.03196112699965,14.94,3224
2016,Florida,No,203604,28.932040377000476,-81.92896053899966,84.27000000000001,171575
2016,Florida,Yes,203604,28.932040377000476,-81.92896053899966,15.73,32029
2016,Georgia,No,29966,32.83968109300048,-83.62758034599966,84.17,25224
2016,Georgia,Yes,29966,32.83968109300048,-83.62758034599966,15.790000000000001,4742
2016,Guam,No,8993,13.444304,144.793731,80.41,7231
2016,Guam,Yes,8993,13.444304,144.793731,19.57,1762
2016,Hawaii,No,45937,21.304850435000446,-157.85774940299973,87.94,40393
2016,Hawaii,Yes,45937,21.304850435000446,-157.85774940299973,12.07,5544
2016,Idaho,No,29896,43.682630005000476,-114.3637300419997,87.65,26203
2016,Idaho,Yes,29896,43.682630005000476,-114.3637300419997,12.31,3693
2016,Illinois,No,27337,40.48501028300046,-88.99771017799969,86.43,23632
2016,Illinois,Yes,27337,40.48501028300046,-88.99771017799969,13.57,3705
2016,Indiana,No,62759,39.766910452000445,-86.14996019399968,82.81,51998
2016,Indiana,Yes,62759,39.766910452000445,-86.14996019399968,17.1,10761
2016,Iowa,No,40993,42.46940091300047,-93.81649055599968,86.34,35384
2016,Iowa,Yes,40993,42.46940091300047,-93.81649055599968,13.67,5609
2016,Kansas,No,67416,38.34774030000045,-98.20078122699965,84.9,57219
2016,Kansas,Yes,67416,38.34774030000045,-98.20078122699965,15.120000000000001,10197
2016,Kentucky,No,57949,37.645970271000465,-84.77497104799966,79.68,46194
2016,Kentucky,Yes,57949,37.645970271000465,-84.77497104799966,20.28,11755
2016,Louisiana,No,29360,31.31266064400046,-92.44568007099969,82.36,24179
2016,Louisiana,Yes,29360,31.31266064400046,-92.44568007099969,17.68,5181
2016,Maine,No,57801,45.254228894000505,-68.98503133599962,84.37,48761
2016,Maine,Yes,57801,45.254228894000505,-68.98503133599962,15.64,9040
2016,Maryland,No,102155,39.29058096400047,-76.60926011099963,87.82,89710
2016,Maryland,Yes,102155,39.29058096400047,-76.60926011099963,12.17,12445
2016,Massachusetts,No,45741,42.27687047000046,-72.08269067499964,86.88,39737
2016,Massachusetts,Yes,45741,42.27687047000046,-72.08269067499964,13.09,6004
2016,Michigan,No,68109,44.6613195430005,-84.71439026999968,82.99,56525
2016,Michigan,Yes,68109,44.6613195430005,-84.71439026999968,16.990000000000002,11584
2016,Minnesota,No,95369,46.35564873600049,-94.79420050299967,86.35,82344
2016,Minnesota,Yes,95369,46.35564873600049,-94.79420050299967,13.64,13025
2016,Mississippi,No,28895,32.745510099000455,-89.53803082499968,81.76,23630
2016,Mississippi,Yes,28895,32.745510099000455,-89.53803082499968,18.23,5265
2016,Missouri,No,40214,38.635790776000476,-92.56630005299968,81.29,32690
2016,Missouri,Yes,40214,38.635790776000476,-92.56630005299968,18.65,7524
2016,Montana,No,34033,47.06652897200047,-109.42442064499971,83.64,28463
2016,Montana,Yes,34033,47.06652897200047,-109.42442064499971,16.35,5570
2016,Nebraska,No,87073,41.6410409880005,-99.36572062299967,85.07,74101
2016,Nebraska,Yes,87073,41.6410409880005,-99.36572062299967,14.91,12972
2016,Nevada,No,24562,39.493240390000494,-117.07184056399967,84.76,20821
2016,Nevada,Yes,24562,39.493240390000494,-117.07184056399967,15.2,3741
2016,New Hampshire,No,36152,43.65595011300047,-71.50036091999965,86.37,31219
2016,New Hampshire,Yes,36152,43.65595011300047,-71.50036091999965,13.68,4933
2016,New Jersey,No,42478,40.13057004800049,-74.27369128799967,86.52,36750
2016,New Jersey,Yes,42478,40.13057004800049,-74.27369128799967,13.47,5728
2016,New Mexico,No,34124,34.52088095200048,-106.24058098499967,85.51,29183
2016,New Mexico,Yes,34124,34.52088095200048,-106.24058098499967,14.46,4941
2016,New York,No,189452,42.82700103200045,-75.54397042699964,83.69,158620
2016,New York,Yes,189452,42.82700103200045,-75.54397042699964,16.25,30832
2016,North Carolina,No,36945,35.466220975000454,-79.15925046299964,82.91,30637
2016,North Carolina,Yes,36945,35.466220975000454,-79.15925046299964,17.08,6308
2016,North Dakota,No,32653,47.47531977900047,-100.11842104899966,84.81,27690
2016,North Dakota,Yes,32653,47.47531977900047,-100.11842104899966,15.19,4963
2016,Ohio,No,70141,40.06021014100048,-82.40426005599966,81.78,57372
2016,Ohio,Yes,70141,40.06021014100048,-82.40426005599966,18.22,12769
2016,Oklahoma,No,38867,35.47203135600046,-97.52107021399968,84.79,32945
2016,Oklahoma,Yes,38867,35.47203135600046,-97.52107021399968,15.23,5922
2016,Oregon,No,29926,44.56744942400047,-120.15503132599969,85.92,25724
2016,Oregon,Yes,29926,44.56744942400047,-120.15503132599969,14.02,4202
2016,Pennsylvania,No,38827,40.79373015200048,-77.86070029399963,84.08,32648
2016,Pennsylvania,Yes,38827,40.79373015200048,-77.86070029399963,15.9,6179
2016,Puerto Rico,No,33303,18.220833,-66.590149,91.28,30409
2016,Puerto Rico,Yes,33303,18.220833,-66.590149,8.7,2894
2016,Rhode Island,No,30594,41.70828019300046,-71.52247031399963,86.09,26336
2016,Rhode Island,Yes,30594,41.70828019300046,-71.52247031399963,13.89,4258
2016,South Carolina,No,63178,33.998821303000454,-81.04537120699968,84.21,53219
2016,South Carolina,Yes,63178,33.998821303000454,-81.04537120699968,15.77,9959
2016,South Dakota,No,32825,44.353130053000484,-100.3735306369997,84.6,27769
2016,South Dakota,Yes,32825,44.353130053000484,-100.3735306369997,15.379999999999999,5056
2016,Tennessee,No,34405,35.68094058000048,-85.77449091399967,79.99,27508
2016,Tennessee,Yes,34405,35.68094058000048,-85.77449091399967,19.98,6897
2016,Texas,No,65508,31.827240407000488,-99.42677020599967,86.89,56902
2016,Texas,Yes,65508,31.827240407000488,-99.42677020599967,13.19,8606
2016,Utah,No,62050,39.360700171000474,-111.58713063499971,92.4,57321
2016,Utah,Yes,62050,39.360700171000474,-111.58713063499971,7.63,4729
2016,Vermont,No,36959,43.62538123900049,-72.51764079099962,85.69,31671
2016,Vermont,Yes,36959,43.62538123900049,-72.51764079099962,14.34,5288
2016,Virgin Islands,No,7160,18.335765,-64.896335,94.38,6757
2016,Virgin Islands,Yes,7160,18.335765,-64.896335,5.61,403
2016,Virginia,No,51035,37.54268067400045,-78.45789046299967,85.46,43616
2016,Virginia,Yes,51035,37.54268067400045,-78.45789046299967,14.57,7419
2016,Washington,No,80898,47.52227862900048,-120.47001078999972,88.41,71509
2016,Washington,Yes,80898,47.52227862900048,-120.47001078999972,11.63,9389
2016,West Virginia,No,40821,38.66551020200046,-80.71264013499967,78.25,31938
2016,West Virginia,Yes,40821,38.66551020200046,-80.71264013499967,21.75,8883
2016,Wisconsin,No,29313,44.39319117400049,-89.81637074199966,85.08,24944
2016,Wisconsin,Yes,29313,44.39319117400049,-89.81637074199966,14.91,4369
2016,Wyoming,No,25773,43.23554134300048,-108.10983035299967,85.82,22119
2016,Wyoming,Yes,25773,43.23554134300048,-108.10983035299967,14.19,3654
2017,Alabama,No,37445,32.84057112200048,-86.63186076199969,82.22,30792
2017,Alabama,Yes,37445,32.84057112200048,-86.63186076199969,17.76,6653
2017,Alaska,No,18197,64.84507995700051,-147.72205903599973,82.51,15019
2017,Alaska,Yes,18197,64.84507995700051,-147.72205903599973,17.47,3178
2017,Arizona,No,85893,34.865970280000454,-111.76381127699972,86.54,74339
2017,Arizona,Yes,85893,34.865970280000454,-111.76381127699972,13.45,11554
2017,Arkansas,No,29579,34.74865012400045,-92.27449074299966,84.03,24856
2017,Arkansas,Yes,29579,34.74865012400045,-92.27449074299966,15.96,4723
2017,California,No,51180,37.63864012300047,-120.99999953799971,89.0,45547
2017,California,Yes,51180,37.63864012300047,-120.99999953799971,10.99,5633
2017,Colorado,No,52166,38.843840757000464,-106.13361092099967,87.51,45654
2017,Colorado,Yes,52166,38.843840757000464,-106.13361092099967,12.51,6512
2017,Connecticut,No,58497,41.56266102000046,-72.64984095199964,89.42,52300
2017,Connecticut,Yes,58497,41.56266102000046,-72.64984095199964,10.59,6197
2017,Delaware,No,22995,39.008830667000495,-75.57774116799965,84.9,19523
2017,Delaware,Yes,22995,39.008830667000495,-75.57774116799965,15.1,3472
2017,District of Columbia,No,21766,38.89037138500049,-77.03196112699965,85.16,18537
2017,District of Columbia,Yes,21766,38.89037138500049,-77.03196112699965,14.83,3229
2017,Florida,No,122554,28.932040377000476,-81.92896053899966,82.09,100586
2017,Florida,Yes,122554,28.932040377000476,-81.92896053899966,17.91,21968
2017,Georgia,No,33271,32.83968109300048,-83.62758034599966,85.0,28278
2017,Georgia,Yes,33271,32.83968109300048,-83.62758034599966,14.98,4993
2017,Guam,No,8523,13.444304,144.793731,77.42999999999999,6599
2017,Guam,Yes,8523,13.444304,144.793731,22.56,1924
2017,Hawaii,No,43948,21.304850435000446,-157.85774940299973,87.98,38667
2017,Hawaii,Yes,43948,21.304850435000446,-157.85774940299973,12.01,5281
2017,Idaho,No,28032,43.682630005000476,-114.3637300419997,87.93,24637
2017,Idaho,Yes,28032,43.682630005000476,-114.3637300419997,12.08,3395
2017,Illinois,No,31679,40.48501028300046,-88.99771017799969,86.98,27551
2017,Illinois,Yes,31679,40.48501028300046,-88.99771017799969,13.03,4128
